CPF,P1,P2,P3,NP1,NP2,NP,SIT,VS,NF
1,"4,5","8,9","9,2","8,2","8,1","8,2",APR.,,"8,2"
2,"8,6","6,7","6,5","7,0","7,0","7,0",APR.,,"7,0"
3,ausente,"1,0",ausente,"0,3","0,5","0,5",REP.,,"0,5"
4,"7,9","9,3","9,5","9,1","9,1","9,1",APR.,,"9,1"
5,"5,5","4,5","2,2","3,6","4,0","4,0",VS,"3,1","3,6"
6,"6,7","4,8","5,4","5,5","5,4","5,5",VS,"6,9","6,0"
7,"8,0","6,0","6,0","6,4","6,4","6,4",APR.,,"6,4"
8,"0,9",ausente,ausente,"0,2","0,2","0,2",REP.,,"0,2"
9,"1,0","1,7","3,0","2,2","2,0","2,2",REP.,,"2,2"
10,"2,5","2,7","1,3","2,0","2,2","2,2",REP.,,"2,2"
11,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
12,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
13,"8,0","9,8","7,5","8,3","8,8","8,8",APR.,,"8,8"
14,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
15,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
16,"1,5","4,7",ausente,"1,7","2,7","2,7",REP.,,"2,7"
17,"3,8","3,0",ausente,"1,7","2,3","2,3",REP.,,"2,3"
18,"4,5","6,9","6,5","6,2","6,3","6,3",APR.,,"6,3"
19,"4,5","2,5","2,0","2,7","2,8","2,8",REP.,,"2,8"
20,"1,8","1,3","0,5","1,0","1,2","1,2",REP.,,"1,2"
21,"5,3","6,0","2,6","4,2","4,8","4,8",VS,"3,8","4,3"
22,"4,6","9,1","3,5","5,4","6,5","6,5",APR.,,"6,5"
23,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
24,"2,0","3,3","5,3","4,0","3,6","4,0",VS,"1,1","2,6"
25,"1,0","1,0",ausente,"0,5","0,7","0,7",REP.,,"0,7"
26,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
27,"4,6","2,3","1,5","2,4","2,5","2,5",REP.,,"2,5"
28,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
29,"2,0","1,5","0,7","1,2","1,4","1,4",REP.,,"1,4"
30,"2,1","5,7","6,9","5,6","5,3","5,6",VS,"5,4","5,5"
31,ausente,"1,0",ausente,"0,3","0,5","0,5",REP.,,"0,5"
32,"1,4","3,3","0,5","1,5","2,1","2,1",REP.,,"2,1"
33,"7,3","4,7","6,2","6,0","5,7","6,0",APR.,,"6,0"
34,"4,9","8,8","6,3","6,8","7,3","7,3",APR.,,"7,3"
35,ausente,ausente,ausente,"0,0","0,0","0,0",REP.,,"0,0"
36,"5,9","4,6","4,5","4,8","4,8","4,8",VS,"3,5","4,2"
